"","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal","position"
"1",2019,0.22988832381948,0.561676183398491,0.00100103313647259,0.042618942983271,0.0549450549450549,0.562845951629644,0.437378608227324,0.364431486880467,0.00899796635290785,0,1
"2",884,0.182235051522978,0.59496959123372,0.00352634294492061,0.0474650163918932,0.03,0.610583772110094,0.500047910503402,0.421875,0.3529630560837,1,2
"3",2168,0.141744389207359,0.633056361723746,0.0013709829600851,0.048109385821939,0.0467289719626168,0.599768044571565,0.467269981410595,0.330452486729477,0.00104048183551983,0,3
"4",2083,0.29763475587048,0.610336106910184,0.00456797957224132,0.0454514403785036,0.0659340659340659,0.543017203140517,0.498012048290714,0.276549934607786,1.86036318903086e-05,0,4
"5",2013,0.178343246609973,0.701155198627988,0.00243894773133524,0.0516719678985427,0.0247524752475248,0.535722868653584,0.4769029866442,0.336230460439315,0.00510592790663077,0,5
"6",2053,0.214017241989293,0.565565728934533,0.00495634320601201,0.0464691360666591,0.0833333333333333,0.488283510006527,0.502147482993985,0.360242660446063,0.000424896347386509,0,6
"7",2234,0.210191497858662,0.625686006672777,0.00358560797100971,0.0459461412967345,0.0505050505050505,0.648633376870034,0.439784730166166,0.40565085108853,6.28905340374609e-05,0,7
"8",2035,0.223678552730633,0.595120155281725,0.00791149646673971,0.0432994374668937,0.0414507772020725,0.654884958300147,0.453703349462523,0.397226390965192,0.00346278034620114,0,8
"9",2227,0.188838828904657,0.531615191510628,0.00692678009010672,0.0412242687398459,0.028436018957346,0.53338945920723,0.552593511378338,0.386456822111956,0.000194603002831931,0,9
"10",2226,0.262261919665908,0.660141779475657,0.00350373220234492,0.0472262696737026,0.0579710144927536,0.463448525316944,0.581123198825278,0.296296296296296,0.000156823396075009,0,10
"11",2154,0.233136716256234,0.558284679978815,0.0088583980261792,0.044829734863147,0.0679611650485437,0.546508938099367,0.421755466530037,0.360242660446063,4.20903436380039e-05,0,11
"12",2095,0.13726084580981,0.634685966285191,0.00266168398659038,0.0486331614255531,0.0518134715025907,0.582220607735293,0.442151381473677,0.374943294917115,0.0166665044617079,0,12
"13",2238,0.146205613009693,0.61937523070825,0.00300775877005248,0.0475470648825046,0.0403587443946188,0.569683230172062,0.328229597612562,0.38130870877249,0.00231557392685344,0,13
"14",2020,0.19321669749734,0.651543210635841,0.00450126661825504,0.0484886823299907,0.0432692307692308,0.601441881197139,0.543861951699659,0.287666857364787,0.00184527396751881,0,14
"15",2172,0.205801713333839,0.619945340930403,0.00498424531141406,0.0495698743691491,0.0655737704918033,0.614282801080637,0.355628142011894,0.306282985317279,0.00464937315378647,0,15
"16",2138,0.259101007553375,0.569775476938593,0.00180214839598306,0.045579895011598,0.0261780104712042,0.53208362511744,0.466771412214069,0.355396412037037,0.00274721616479053,0,16
"17",2137,0.138333190106245,0.668789404343435,0.00628068052968509,0.054053585240342,0.0495495495495495,0.565198077503112,0.497670331948558,0.321205888081921,0.000406579373245944,0,17
"18",2093,0.304534375512977,0.556107633276397,0.00292150619340911,0.0437204825554796,0.0705882352941176,0.629916811060374,0.329749775713677,0.396819868798175,0.00645928523981474,0,18
"19",2236,0.236408968150114,0.641889348672392,0.00514347129536973,0.0480769670946579,0.036697247706422,0.541602976275237,0.456054628668913,0.327117505912566,0.0366753010690467,0,19
"20",2165,0.315979796003318,0.636061335366757,0.000915081507579334,0.0460647559101454,0.0228571428571429,0.645704449745285,0.357215171934635,0.324275129432038,3.83506102108375e-05,0,20
"21",2392,0.25833594798703,0.585507770744361,0.00177844664805373,0.0416760122852463,0.0375586854460094,0.597887397869937,0.315537454912775,0.39437037037037,0.00486070201431731,0,1
"22",2405,0.338530132379195,0.526890353108362,0.00420889025470313,0.0377269797359926,0.0112994350282486,0.654378414576642,0.336120044372697,0.330985188110193,0.00941339476057793,0,2
"23",2488,0.213936660806883,0.596681346886521,0,0.0429817693912198,0.0523809523809524,0.523925685517318,0.466865963425124,0.331120967619554,0.00133696987674785,0,3
"24",2330,0.270020873809379,0.607206338634477,0.00437985323338615,0.04335,0.0276497695852535,0.620066181472256,0.291229951743293,0.347473857027576,0.00287525420531917,0,4
"25",2344,0.161733182190356,0.622313218076669,0.00183512175872017,0.0428049062608482,0.0260869565217391,0.52904401033836,0.408391424742651,0.371851811923645,0.00943260802314543,0,5
"26",2411,0.247831484727975,0.621072874392324,0.00200292565521779,0.0403906548597569,0.0315789473684211,0.554591166074764,0.493446236038332,0.453359922926583,0.0157287056691153,0,6
"27",2381,0.220256551416869,0.568465660078119,0.0061663220806379,0.0422014513968418,0.0616113744075829,0.529534161490683,0.404507524858975,0.416812554325299,0.002558891263818,0,7
"28",2345,0.113922887487556,0.444167997159954,0.00238200837467914,0.0775505641501079,0.0112359550561798,0.75223711106064,0.210978407758925,0.331816112881202,0.000940125715535092,0,8
"29",2352,0.250737026899824,0.619302760748671,0.00484627095878179,0.0434249352331123,0.0458715596330275,0.588072504400995,0.440941780840386,0.343880992720715,2.3358440568465e-05,0,9
"30",2372,0.184493348591552,0.498064388773967,0,0.0375542274584367,0.0675675675675676,0.499297368974272,0.432825620433485,0.465990703137301,0.00077270185606061,0,10
"31",2280,0.156006807570739,0.612241747909401,0.00479613101848518,0.0399138133983712,0.045045045045045,0.588980287384637,0.251863524990835,0.38807734581722,0.029479494017319,0,11
"32",2486,0.0775745512185341,0.464810817379347,0.000968439447703798,0.0766792344771386,0.032967032967033,0.689757808122491,0.289492432320183,0.415960951186189,0.0108334911904076,0,12
"33",2296,0.18235152463057,0.635586209499897,0.00281790635473876,0.0429060601780215,0.0391304347826087,0.576516014843541,0.406304231546619,0.398615222797031,0.0049118560513027,0,13
"34",2358,0.170156458264979,0.627729714261124,0.00266198099389802,0.0433166538412191,0.0570175438596491,0.514711297323467,0.429413805261017,0.419522542608205,0.00373177243643965,0,14
"35",2467,0.0568136073833727,0.448479777694191,0.0020713066371311,0.0751324996256613,0.021505376344086,0.690267342512837,0.25115294930632,0.316043091665677,0.00235542288828816,0,15
"36",2474,0.2850203936541,0.598880919663923,0,0.0394312059161269,0.0386473429951691,0.680765693766285,0.341768155132875,0.284753608397726,0.00896790855760296,0,16
"37",2416,0.161709609619865,0.583560916485859,0.00373534179198425,0.0428807940691401,0.0394736842105263,0.541972225347644,0.386643118461601,0.30694067239868,0.000153244989967104,0,17
"38",2432,0.236686728775007,0.588902284641915,0,0.0412315716411587,0.0511627906976744,0.520762584434884,0.47117701046316,0.414430320321355,0.00448025843097963,0,18
"39",2461,0.230966543488948,0.582289013871456,0.00328188283023275,0.0408442468408955,0.0325581395348837,0.581976033057851,0.392526660292301,0.324951171875,0.00501578657686832,0,19
"40",1049,0.218326836323793,0.601762776749866,0.000440504409661642,0.0398413415938771,0.0492610837438424,0.554381916086272,0.53997557726908,0.38283849191696,0.156907723959174,1,20
"41",1656,0.367982175919747,0.618013784210114,0.0116128592962257,0.0481700934943381,0.0119047619047619,0.542158310834029,0.487904531208756,0.275140566198444,0.00305984139977856,0,1
"42",1745,0.252799135225045,0.637148093062918,0.00587196258383264,0.0540240383365833,0.0792682926829268,0.520880773553092,0.609947320383208,0.447963189053065,0.0153628372982354,0,2
"43",1532,0.210434951549499,0.594919795303473,0.00611385703328952,0.0628024598683622,0.0568181818181818,0.571236873749889,0.559657702786611,0.382540059950211,0.00303427365478451,0,3
"44",1546,0.400949537053238,0.572754414002936,0.00315486391671331,0.0482463422060818,0.0350877192982456,0.667441037774429,0.480409358323776,0.346377437568141,0.0312929035901319,0,4
"45",1504,0.284340441130155,0.68996822901238,0.00502613889198043,0.0540665468318978,0.04,0.638985753122253,0.350678582207512,0.370948737489204,0.0167636964201732,0,5
"46",1501,0.256114814078057,0.64658084526454,0.00715078192451839,0.0558062168639469,0.0869565217391304,0.617530286807782,0.536568728188181,0.382351213453728,8.03876797006207e-05,0,6
"47",1550,0.210676222798003,0.617850446512358,0.00652466783788993,0.0573011457823201,0.0571428571428571,0.514407034566772,0.529650004071597,0.39437037037037,0.0129323286527272,0,7
"48",398,0.194025529392803,0.685818961650515,0.0100023464188898,0.0603626633740395,0.0564971751412429,0.529785552181364,0.518899914255685,0.351719926725015,0.195273595802107,1,8
"49",1552,0.451981625908577,0.589137669358217,0.00774511431462039,0.0443251943452653,0.0625,0.507353233193857,0.554231754059359,0.343,0.00542159578773138,0,9
"50",1578,0.242538161338687,0.579761652783812,0.00938964105457035,0.0596659563703108,0.0872093023255814,0.456207200023619,0.35431927745304,0.418757709698725,0.013604567132595,0,10
"51",1692,0.165312232360399,0.653581876662273,0.00619668439748959,0.0614265707244279,0.08,0.5544735085056,0.547707405783296,0.32764412374433,0.0293568291772394,0,11
"52",1539,0.438855162747065,0.637041650889663,0.0100504032006331,0.0512032684190134,0.0987654320987654,0.624769465216004,0.401326292776499,0.357423382900876,0.0397064823330336,0,12
"53",1585,0.164568363840754,0.717182075434873,0.0110491852624295,0.0665326958682766,0.11731843575419,0.615071185033383,0.387372263572436,0.439952949196867,0.00521584383490265,0,13
"54",1561,0.316874280511356,0.705916354318119,0.0123383600505026,0.0521546041576338,0.064327485380117,0.550022347520942,0.327289793140962,0.384673178061608,0.00473663133280156,0,14
"55",1730,0.342004136780409,0.619717238291429,0.0181310152179251,0.0495246123608121,0.0529411764705882,0.57504527650213,0.51420759531444,0.428203020318324,0.00545614156133767,0,15
"56",1725,0.340927320700781,0.581576875370902,0.0111601954507887,0.048880256026855,0.0769230769230769,0.488870692174649,0.610557485850749,0.405976893284124,0.04524542723453,0,16
